ID,Gender,SAT,Admission,Split
94,M,426,No,cv_fold_4
95,M,429,No,cv_fold_4
96,M,432,No,cv_fold_3
97,M,435,No,test
98,M,438,No,cv_fold_4
99,M,441,No,test
100,M,443,No,cv_fold_5
101,M,446,No,cv_fold_5
102,M,449,No,cv_fold_4
103,M,452,No,cv_fold_4
104,M,455,No,cv_fold_3
105,M,458,No,cv_fold_3
106,M,461,No,test
107,M,464,No,test
108,M,467,No,cv_fold_3
109,M,470,No,cv_fold_2
110,M,472,No,cv_fold_2
111,M,475,No,cv_fold_1
112,M,478,No,test
113,M,481,No,test
114,M,484,No,cv_fold_4
115,M,487,No,cv_fold_4
116,M,490,No,test
117,M,493,No,cv_fold_1
118,M,496,No,cv_fold_3
119,M,499,No,cv_fold_2
120,M,501,No,test
121,M,504,No,cv_fold_1
122,M,507,No,cv_fold_5
123,M,510,No,cv_fold_5
124,M,513,No,cv_fold_3
125,M,516,No,cv_fold_1
126,M,519,No,cv_fold_2
127,M,522,No,test
128,M,525,No,cv_fold_5
129,M,528,No,cv_fold_3
130,M,530,No,cv_fold_1
131,M,533,No,cv_fold_5
132,M,536,No,cv_fold_1
133,M,539,No,cv_fold_1
134,M,542,No,cv_fold_3
135,M,545,No,test
136,M,548,No,test
137,M,551,No,cv_fold_2
138,M,554,No,cv_fold_5
139,M,557,No,cv_fold_4
140,M,559,No,cv_fold_5
141,M,562,No,cv_fold_1
142,M,565,No,cv_fold_1
143,M,568,No,test
144,M,571,No,cv_fold_5
145,M,574,No,cv_fold_5
146,M,577,No,cv_fold_3
147,M,580,No,cv_fold_5
148,M,583,No,cv_fold_2
149,M,586,No,cv_fold_3
150,M,588,No,cv_fold_1
151,M,591,No,cv_fold_2
152,M,594,No,cv_fold_4
153,M,597,No,cv_fold_2
154,M,600,No,cv_fold_1
155,F,1550,Yes,cv_fold_3
156,F,1558,Yes,test
157,F,1567,Yes,cv_fold_1
158,F,1575,Yes,cv_fold_2
159,F,1583,Yes,cv_fold_5
160,F,1592,Yes,cv_fold_4
161,F,1600,Yes,cv_fold_4
162,F,1200,No,cv_fold_2
163,F,1201,No,cv_fold_4
164,F,1203,No,cv_fold_5
165,F,1204,No,cv_fold_1
166,F,1206,No,cv_fold_3
167,F,1207,No,cv_fold_3
168,F,1209,No,test
169,F,1210,No,test
170,F,1212,No,cv_fold_2
171,F,1213,No,cv_fold_2
172,F,1215,No,cv_fold_5
173,F,1216,No,cv_fold_2
174,F,1218,No,cv_fold_5
175,F,1219,No,cv_fold_3
176,F,1221,No,test
177,F,1222,No,cv_fold_5
178,F,1224,No,cv_fold_5
179,F,1225,No,cv_fold_4
180,F,1226,No,cv_fold_1
181,F,1228,No,cv_fold_2
182,F,1229,No,test
183,F,1231,No,cv_fold_4
184,F,1232,No,cv_fold_4
185,F,1234,No,cv_fold_1
186,F,1235,No,cv_fold_3
187,F,1237,No,test
188,F,1238,No,cv_fold_1
189,F,1240,No,cv_fold_4
190,F,1241,No,test
191,F,1243,No,cv_fold_1
192,F,1244,No,cv_fold_5
193,F,1246,No,cv_fold_4
194,F,1247,No,cv_fold_1
195,F,1249,No,cv_fold_3
196,F,1250,No,test
197,F,400,No,cv_fold_4
198,F,402,No,test
199,F,404,No,test
200,F,405,No,test
201,F,407,No,cv_fold_2
202,F,409,No,cv_fold_4
203,F,411,No,test
204,F,413,No,cv_fold_5
205,F,414,No,test
206,F,416,No,cv_fold_1
207,F,418,No,cv_fold_4
208,F,420,No,cv_fold_5
209,F,422,No,cv_fold_5
210,F,423,No,test
211,F,425,No,cv_fold_5
212,F,427,No,cv_fold_2
213,F,429,No,cv_fold_4
214,F,431,No,test
215,F,432,No,cv_fold_2
216,F,434,No,cv_fold_2
217,F,436,No,test
218,F,438,No,cv_fold_2
219,F,440,No,cv_fold_3
220,F,441,No,cv_fold_3
221,F,443,No,cv_fold_4
222,F,445,No,cv_fold_5
223,F,447,No,cv_fold_3
224,F,449,No,cv_fold_1
225,F,450,No,cv_fold_2
226,F,452,No,cv_fold_1
227,F,454,No,cv_fold_5
228,F,456,No,cv_fold_1
229,F,458,No,cv_fold_1
230,F,459,No,cv_fold_3
231,F,461,No,cv_fold_1
232,F,463,No,cv_fold_1
233,F,465,No,cv_fold_3
234,F,467,No,cv_fold_3
235,F,468,No,test
236,F,470,No,cv_fold_3
237,F,472,No,cv_fold_3
238,F,474,No,cv_fold_2
239,F,476,No,cv_fold_3
240,F,477,No,cv_fold_3
241,F,479,No,cv_fold_1
242,F,481,No,cv_fold_5
243,F,483,No,test
244,F,485,No,cv_fold_5
245,F,486,No,cv_fold_5
246,F,488,No,cv_fold_1
247,F,490,No,test
248,F,492,No,cv_fold_4
249,F,494,No,test
250,F,495,No,cv_fold_4
251,F,497,No,test
252,F,499,No,cv_fold_1
253,F,501,No,cv_fold_1
254,F,503,No,cv_fold_1
255,F,505,No,cv_fold_2
256,F,506,No,test
257,F,508,No,cv_fold_1
258,F,510,No,test
259,F,512,No,cv_fold_2
260,F,514,No,test
261,F,515,No,cv_fold_4
262,F,517,No,cv_fold_3
263,F,519,No,cv_fold_3
264,F,521,No,cv_fold_2
265,F,523,No,cv_fold_1
266,F,524,No,cv_fold_1
267,F,526,No,cv_fold_3
268,F,528,No,cv_fold_2
269,F,530,No,test
270,F,532,No,cv_fold_3
271,F,533,No,cv_fold_4
272,F,535,No,cv_fold_3
273,F,537,No,cv_fold_5
274,F,539,No,cv_fold_4
275,F,541,No,cv_fold_4
276,F,542,No,cv_fold_1
277,F,544,No,cv_fold_5
278,F,546,No,cv_fold_4
279,F,548,No,cv_fold_2
280,F,550,No,cv_fold_5
281,F,551,No,cv_fold_4
282,F,553,No,cv_fold_3
283,F,555,No,cv_fold_2
284,F,557,No,cv_fold_3
285,F,559,No,test
286,F,560,No,test
287,F,562,No,cv_fold_5
288,F,564,No,cv_fold_5
289,F,566,No,cv_fold_4
290,F,568,No,cv_fold_2
291,F,569,No,cv_fold_4
292,F,571,No,cv_fold_5
293,F,573,No,cv_fold_2
294,F,575,No,cv_fold_4
295,F,577,No,cv_fold_4
296,F,578,No,cv_fold_3
297,F,580,No,test
298,F,582,No,cv_fold_4
299,F,584,No,cv_fold_2
300,F,586,No,cv_fold_1
301,F,587,No,cv_fold_5
302,F,589,No,cv_fold_2
303,F,591,No,cv_fold_2
304,F,593,No,test
305,F,595,No,test
306,F,596,No,cv_fold_5
307,F,598,No,cv_fold_5
308,F,600,No,test
