ID,Gender,SAT,Admission,Split
97,M,899,Yes,cv_fold_5
98,F,447,No,test
99,F,1202,No,cv_fold_3
100,M,855,Yes,cv_fold_4
101,M,860,Yes,cv_fold_5
102,M,894,Yes,cv_fold_2
103,F,1560,Yes,cv_fold_2
104,F,1565,Yes,cv_fold_4
105,M,443,No,cv_fold_3
106,F,1274,No,test
107,F,1553,Yes,cv_fold_5
108,M,828,Yes,cv_fold_1
109,M,889,Yes,cv_fold_2
110,F,1280,No,cv_fold_3
111,M,809,Yes,cv_fold_4
112,F,1281,No,cv_fold_1
113,M,801,Yes,cv_fold_5
114,F,1245,No,cv_fold_4
115,M,887,Yes,cv_fold_4
116,M,864,Yes,cv_fold_1
117,F,484,No,cv_fold_4
118,F,1574,Yes,cv_fold_3
119,F,1554,Yes,cv_fold_2
120,F,1205,No,cv_fold_5
121,M,844,Yes,cv_fold_3
122,F,1298,No,cv_fold_1
123,F,1293,No,cv_fold_3
124,M,878,Yes,test
125,F,1259,No,cv_fold_5
126,F,1268,No,cv_fold_4
127,F,1226,No,test
128,F,1271,No,cv_fold_2
129,F,1262,No,cv_fold_3
130,M,825,Yes,cv_fold_1
131,F,1216,No,cv_fold_4
132,M,880,Yes,cv_fold_3
133,M,813,Yes,cv_fold_2
134,M,850,Yes,cv_fold_4
135,F,1260,No,cv_fold_1
136,F,1238,No,test
137,M,892,Yes,cv_fold_1
138,M,837,Yes,cv_fold_3
139,F,1235,No,cv_fold_5
140,F,1207,No,test
141,F,1258,No,cv_fold_3
142,F,1232,No,cv_fold_1
143,F,1213,No,cv_fold_5
144,F,1278,No,cv_fold_5
145,M,858,Yes,cv_fold_3
146,M,1599,Yes,cv_fold_4
147,F,1267,No,cv_fold_4
148,M,834,Yes,cv_fold_1
149,M,440,No,cv_fold_5
150,F,1217,No,cv_fold_1
151,M,873,Yes,cv_fold_3
152,M,838,Yes,cv_fold_1
153,M,831,Yes,cv_fold_4
154,F,1269,No,cv_fold_4
155,M,815,Yes,cv_fold_5
156,M,430,No,test
157,M,1586,Yes,test
158,M,870,Yes,test
159,F,1227,No,cv_fold_5
160,F,410,No,cv_fold_1
161,M,865,Yes,cv_fold_1
162,F,460,No,cv_fold_2
163,M,886,Yes,cv_fold_3
164,M,1585,Yes,cv_fold_5
165,M,1558,Yes,cv_fold_5
166,F,426,No,test
167,M,829,Yes,cv_fold_2
168,F,500,No,cv_fold_1
169,M,859,Yes,cv_fold_4
170,M,1584,Yes,test
171,M,1583,Yes,cv_fold_2
172,F,1557,Yes,cv_fold_5
173,M,849,Yes,test
174,M,854,Yes,cv_fold_5
175,M,851,Yes,cv_fold_3
176,F,1284,No,test
177,M,426,No,cv_fold_5
178,F,1243,No,test
179,F,1242,No,test
180,M,810,Yes,cv_fold_2
181,M,819,Yes,cv_fold_2
182,F,1228,No,cv_fold_3
183,F,1563,Yes,cv_fold_3
184,F,449,No,cv_fold_1
185,M,896,Yes,cv_fold_5
186,M,862,Yes,cv_fold_2
187,F,1285,No,test
188,F,1291,No,cv_fold_2
189,M,1590,Yes,cv_fold_3
190,M,460,No,cv_fold_5
191,F,1588,Yes,test
192,M,866,Yes,test
193,M,1581,Yes,test
194,F,443,No,cv_fold_5
195,M,442,No,cv_fold_1
196,M,468,No,cv_fold_2
197,M,821,Yes,test
198,F,1571,Yes,cv_fold_4
199,F,1596,Yes,test
200,F,1250,No,test
201,F,1251,No,cv_fold_4
202,M,884,Yes,cv_fold_1
203,M,874,Yes,test
204,F,1288,No,cv_fold_4
205,F,1236,No,test
206,M,803,Yes,test
207,M,900,Yes,cv_fold_2
208,F,406,No,cv_fold_5
209,F,1294,No,test
210,M,818,Yes,cv_fold_4
211,F,1204,No,cv_fold_4
212,M,477,No,cv_fold_1
213,F,1272,No,cv_fold_2
214,M,1572,Yes,cv_fold_1
215,F,1256,No,cv_fold_4
216,F,1248,No,cv_fold_5
217,F,1270,No,cv_fold_2
218,M,1556,Yes,cv_fold_1
219,F,1300,No,cv_fold_1
220,F,1551,Yes,cv_fold_1
221,M,845,Yes,cv_fold_4
222,M,857,Yes,test
223,F,1224,No,cv_fold_4
224,M,1600,Yes,cv_fold_1
225,F,1233,No,cv_fold_2
226,M,1592,Yes,test
227,M,888,Yes,cv_fold_1
228,M,827,Yes,cv_fold_5
229,M,1565,Yes,cv_fold_3
230,M,1577,Yes,cv_fold_1
231,M,409,No,cv_fold_2
232,F,1201,No,cv_fold_2
233,M,1552,Yes,cv_fold_5
234,M,879,Yes,test
235,M,497,No,cv_fold_4
236,M,427,No,cv_fold_5
237,F,1289,No,test
238,F,1206,No,cv_fold_3
239,F,489,No,cv_fold_5
240,F,1200,No,cv_fold_3
